Card,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Kyurem ex 2025 Japanese Scarlet & Violet: Black Bolt #160/086 Super Rare (Full Art) Raw TCG (Near Mint)","879.91","$19.71","$2.24","$21.95 (10/22/2025)","$8.29","$2.24","$21.95","-63.64","4","$33.18"
"Team Rocket's Petrel 2025 Japanese Scarlet & Violet: Glory of Team Rocket #122/098 Super Rare (Full Art) Raw TCG (Near Mint)","726.26","$7.19","$0.99","$8.18 (10/24/2025)","$7.80","$0.99","$11.53","-66.67","4","$31.20"
"Seismitoad 2025 Scarlet & Violet: Black Bolt #021/086 Master Ball Reverse Holo Raw TCG (Near Mint)","606.57","$6.00","$0.99","$7.00 (10/17/2025)","$6.56","$0.99","$10.00","-28.57","5","$32.79"
"Zekrom ex 2025 Japanese Scarlet & Violet: Black Bolt #037/086 Double Rare Raw TCG (Near Mint)","442.17","$14.68","$3.32","$18.00 (10/17/2025)","$7.75","$1.92","$18.00","-25.00","3","$23.24"
"Tynamo 2025 Scarlet & Violet: Black Bolt #030/086 Master Ball Reverse Holo Raw TCG (Near Mint)","353.54","$3.50","$0.99","$4.49 (10/24/2025)","$4.22","$0.99","$9.89","0.00","7","$29.56"
"Beheeyem 2025 Scarlet & Violet: Black Bolt #041/086 Master Ball Reverse Holo Raw TCG (Near Mint)","346.78","$10.23","$2.95","$13.18 (10/23/2025)","$7.02","$2.95","$13.18","-20.00","4","$28.07"
"Arboliva ex 2025 Japanese Scarlet & Violet: Glory of Team Rocket #111/098 Super Rare (Full Art) Raw TCG (Near Mint)","316.36","$3.48","$1.10","$4.58 (10/24/2025)","$4.64","$1.10","$11.30","0.00","11","$51.00"
"Ethan's Ho-Oh ex 2025 Japanese Scarlet & Violet: Heat Wave Arena #090/063 Ultra Rare (Secret) Raw TCG (Near Mint)","303.29","$12.89","$4.25","$17.14 (10/23/2025)","$12.30","$4.25","$17.14","-50.00","3","$36.89"
"Petilil 2025 Japanese Scarlet & Violet: Black Bolt #091/086 Art Rare Raw TCG (Near Mint)","289.94","$5.19","$1.79","$6.98 (10/23/2025)","$5.70","$1.79","$7.49","-50.00","13","$74.15"
"Solosis 2025 Scarlet & Violet: Black Bolt #037/086 Master Ball Reverse Holo Raw TCG (Near Mint)","288.84","$7.25","$2.51","$9.76 (10/23/2025)","$4.82","$0.99","$9.76","-14.29","6","$28.91"
"Bulbasaur 2025 Japanese Mega Brave #01/63 Base Raw TCG (Near Mint)","262.63","$2.60","$0.99","$3.59 (10/10/2025)","$1.59","$0.99","$3.59","-50.00","6","$9.54"
"Volcanion ex 2025 Japanese Scarlet & Violet: Battle Partners #113/100 Super Rare (Full Art) Raw TCG (Near Mint)","257.33","$3.86","$1.50","$5.36 (10/19/2025)","$3.96","$1.50","$5.50","0.00","4","$15.86"
"Zekrom ex 2025 Japanese Scarlet & Violet: Black Bolt #161/086 Super Rare (Full Art) Raw TCG (Near Mint)","256.43","$17.95","$7.00","$24.95 (10/22/2025)","$9.66","$2.25","$24.95","-18.18","9","$86.91"
"Blaziken 2025 Scarlet & Violet: Destined Rivals #042/182 Reverse Holo Raw TCG (Near Mint)","252.53","$2.50","$0.99","$3.49 (10/24/2025)","$2.33","$0.99","$3.49","7.14","15","$34.92"
"Fan Rotom 2025 Scarlet & Violet: Prismatic Evolutions #085/131 Poke Ball Reverse Holo Raw TCG (Near Mint)","252.12","$4.16","$1.65","$5.81 (10/20/2025)","$2.30","$1.03","$5.81","-33.33","8","$18.38"
"Zorua 2025 Japanese Scarlet & Violet: White Flare #058/086 Master Ball Reverse Holo Raw TCG (Near Mint)","250.00","$3.35","$1.34","$4.69 (10/09/2025)","$3.02","$1.34","$4.69","0.00","2","$6.03"
"Buneary 2025 Scarlet & Violet: Prismatic Evolutions #083/131 Poke Ball Reverse Holo Raw TCG (Near Mint)","245.91","$3.91","$1.59","$5.50 (10/19/2025)","$3.05","$1.59","$5.50","-33.33","4","$12.21"
"Jolteon ex 2025 Scarlet & Violet: Prismatic Evolutions #030/131 Double Rare Raw TCG (Near Mint)","241.46","$7.63","$3.16","$10.79 (10/23/2025)","$4.02","$0.99","$13.29","-16.83","84","$337.73"
"Oshawott 2025 Scarlet & Violet: White Flare #021/086 Master Ball Reverse Holo Raw TCG (Near Mint)","233.44","$6.98","$2.99","$9.97 (10/23/2025)","$6.69","$0.99","$10.33","-58.33","5","$33.45"
"Dunsparce 2025 Scarlet & Violet: Prismatic Evolutions #079/131 Master Ball Reverse Holo Raw TCG (Near Mint)","225.06","$8.98","$3.99","$12.97 (10/22/2025)","$4.96","$1.99","$12.97","-27.27","8","$39.64"
"Reuniclus 2025 Scarlet & Violet: Black Bolt #039/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","223.23","$2.21","$0.99","$3.20 (10/13/2025)","$2.10","$0.99","$3.20","-60.00","2","$4.19"
"Palpitoad 2025 Scarlet & Violet: Black Bolt #020/086 Master Ball Reverse Holo Raw TCG (Near Mint)","221.67","$6.65","$3.00","$9.65 (10/24/2025)","$7.43","$3.00","$14.30","-25.00","3","$22.30"
"Golett 2025 Scarlet & Violet: Black Bolt #042/086 Master Ball Reverse Holo Raw TCG (Near Mint)","218.92","$8.91","$4.07","$12.98 (10/23/2025)","$5.35","$2.00","$12.98","33.33","8","$42.79"
"Fraxure 2025 Scarlet & Violet: Black Bolt #146/086 Illustration Rare Raw TCG (Near Mint)","214.80","$13.64","$6.35","$19.99 (10/17/2025)","$15.39","$6.35","$19.99","-34.48","19","$292.50"
"Litleo 2025 Scarlet & Violet: Prismatic Evolutions #015/131 Master Ball Reverse Holo Raw TCG (Near Mint)","212.50","$4.25","$2.00","$6.25 (10/24/2025)","$3.22","$1.89","$6.74","61.54","21","$67.56"
"Drakloak 2025 Scarlet & Violet: Prismatic Evolutions #072/131 Master Ball Reverse Holo Raw TCG (Near Mint)","209.52","$2.20","$1.05","$3.25 (10/20/2025)","$5.69","$1.05","$9.27","20.00","12","$68.33"
"Fraxure 2025 Scarlet & Violet: Black Bolt #069/086 Master Ball Reverse Holo Raw TCG (Near Mint)","209.27","$8.35","$3.99","$12.34 (10/24/2025)","$6.01","$3.75","$12.34","-16.67","5","$30.03"
"Noctowl 2025 Scarlet & Violet: Prismatic Evolutions #078/131 Poke Ball Reverse Holo Raw TCG (Near Mint)","207.07","$2.05","$0.99","$3.04 (10/24/2025)","$2.03","$0.99","$3.78","100.00","10","$20.28"
"Ethan's Ho-Oh ex 2025 Japanese Scarlet & Violet: Heat Wave Arena #020/063 Double Rare Raw TCG (Near Mint)","202.02","$2.00","$0.99","$2.99 (10/15/2025)","$2.10","$0.99","$2.99","200.00","6","$12.59"
"Shuckle 2025 Mega Evolution #011/132 Reverse Holo Raw TCG (Near Mint)","200.00","$1.98","$0.99","$2.97 (10/17/2025)","$1.93","$0.99","$2.99","750.00","17","$32.81"
"N's Plan 2025 Scarlet & Violet: Black Bolt #083/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","192.00","$1.92","$1.00","$2.92 (10/18/2025)","$3.45","$0.99","$12.94","-43.75","9","$31.05"
"Golett 2025 Scarlet & Violet: Black Bolt #042/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","189.00","$1.89","$1.00","$2.89 (10/17/2025)","$1.61","$1.00","$2.89","25.00","5","$8.05"
"Mega Gardevoir ex 2025 Japanese Mega Symphonia #42/63 Double Rare Raw TCG (Near Mint)","187.25","$5.21","$2.79","$8.00 (10/21/2025)","$2.17","$0.99","$8.00","-46.43","30","$65.05"
"N's Zoroark ex 2025 Japanese Scarlet & Violet: Battle Partners #117/100 Super Rare (Full Art) Raw TCG (Near Mint)","185.93","$3.70","$1.99","$5.69 (10/24/2025)","$4.99","$1.99","$7.31","-12.50","7","$34.92"
"Buneary 2025 Scarlet & Violet: Prismatic Evolutions #083/131 Master Ball Reverse Holo Raw TCG (Near Mint)","182.91","$5.03","$2.75","$7.78 (10/20/2025)","$4.47","$1.30","$7.78","-33.33","6","$26.79"
"Solosis 2025 Scarlet & Violet: Black Bolt #118/086 Illustration Rare Raw TCG (Near Mint)","181.59","$32.02","$17.63","$49.64 (10/24/2025)","$57.87","$7.00","$99.99","240.91","225","$13020.58"
"Spritzee 2025 Scarlet & Violet: Prismatic Evolutions #038/131 Poke Ball Reverse Holo Raw TCG (Near Mint)","174.92","$2.62","$1.50","$4.11 (10/24/2025)","$1.87","$0.99","$4.11","66.67","10","$18.69"
"Klink 2025 Scarlet & Violet: Black Bolt #061/086 Master Ball Reverse Holo Raw TCG (Near Mint)","171.06","$4.02","$2.35","$6.37 (10/13/2025)","$4.36","$2.35","$6.37","-50.00","2","$8.72"
"Klinklang 2025 Scarlet & Violet: Black Bolt #063/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","165.00","$1.65","$1.00","$2.65 (10/14/2025)","$1.82","$1.00","$2.65","-50.00","2","$3.65"
"Crispin 2025 Scarlet & Violet: Prismatic Evolutions #105/131 Poke Ball Reverse Holo Raw TCG (Near Mint)","163.95","$2.82","$1.72","$4.54 (10/22/2025)","$2.10","$0.99","$4.54","-22.22","7","$14.72"
"Crustle 2025 Scarlet & Violet: Destined Rivals #012/182 Holo Raw TCG (Near Mint)","162.63","$1.61","$0.99","$2.60 (10/21/2025)","$1.31","$0.99","$2.60","-37.50","5","$6.56"
"Solosis 2025 Japanese Scarlet & Violet: Black Bolt #123/086 Art Rare Raw TCG (Near Mint)","161.94","$10.51","$6.49","$17.00 (10/24/2025)","$14.75","$4.93","$70.00","57.69","41","$604.90"
"Thundurus 2025 Scarlet & Violet: Black Bolt #033/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","160.00","$1.60","$1.00","$2.60 (10/23/2025)","$2.18","$1.00","$2.70","150.00","5","$10.90"
"Galvantula 2025 Scarlet & Violet: White Flare #034/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","159.33","$2.39","$1.50","$3.89 (10/17/2025)","$1.98","$1.50","$3.89","250.00","7","$13.84"
"Aromatisse 2025 Scarlet & Violet: Prismatic Evolutions #039/131 Base Raw TCG (Near Mint)","155.71","$1.09","$0.70","$1.79 (10/13/2025)","$1.25","$0.70","$1.79","100.00","2","$2.49"
"Regirock 2025 Scarlet & Violet: Journey Together #082/159 Reverse Holo Raw TCG (Near Mint)","154.62","$1.84","$1.19","$3.03 (10/06/2025)","$2.42","$1.19","$3.03","-62.50","3","$7.25"
"Palpitoad 2025 Scarlet & Violet: Black Bolt #104/086 Illustration Rare Raw TCG (Near Mint)","150.19","$12.00","$7.99","$19.99 (10/23/2025)","$12.56","$5.00","$33.00","50.00","66","$828.68"
